id,name,value
__export__.fal_ref_data_V72-025-030-KN-IT-M03,V72-025-030-KN-IT-M03,VBL-025-L1-IT-KN-M03-A_030-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-025-030-KN-IT-M04,V72-025-030-KN-IT-M04,VBL-025-L1-IT-KN-M04-A_030-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-025-030-KN-IT-M05,V72-025-030-KN-IT-M05,VBL-025-L1-IT-KN-M05-A_030-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-025-030-KN-IT-M06,V72-025-030-KN-IT-M06,VBL-025-L1-IT-KN-M06-A_030-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-025-030-KN-IT-M07,V72-025-030-KN-IT-M07,VBL-025-L1-IT-KN-M07-A_030-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-025-030-KN-IT-M08,V72-025-030-KN-IT-M08,VBL-025-L1-IT-KN-M08-A_030-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-025-030-KN-IT-M09,V72-025-030-KN-IT-M09,VBL-025-L1-IT-KN-M09-A_030-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-025-030-KN-IT-M10,V72-025-030-KN-IT-M10,VBL-025-L1-IT-KN-M10-A_030-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-025-030-KN-IT-M11,V72-025-030-KN-IT-M11,VBL-025-L1-IT-KN-M11-A_030-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-025-030-KN-IT-M12,V72-025-030-KN-IT-M12,VBL-025-L1-IT-KN-M12-A_030-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-025-030-KV-ET-M01,V72-025-030-KV-ET-M01,VBL-025-L1-ET-KV-M01-A_030-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-025-030-KV-ET-M02,V72-025-030-KV-ET-M02,VBL-025-L1-ET-KV-M02-A_030-NP-NL-NT-NC-XX_XXX-XX-XX
__export__.fal_ref_data_V72-025-030-KV-ET-M03,V72-025-030-KV-ET-M03,VBL-025-L1-ET-KV-M03-A_030-NP-NL-NT-NC-XX_XXX-XX-XX
